CRN,Subj,Num,Title,Days,Start,End,Start,End,Credits,Instructor,Room,Max Enroll
80005,HS,51,Intro Human Service,T,8/13/2010,12/16/2010,6:00 PM,8:50 PM,3,Adair,811,50
80007,HS,53,Special Populations,R,8/13/2010,12/16/2010,9:30 AM,12:20 PM,3,Cepeda,811,35
80008,HS,55,Case Management,W,8/13/2010,12/16/2010,12:00 PM,2:50 PM,3,Marino,811,35
80009,ANTH,2,Cultural Anthro,MWF,8/13/2010,12/16/2010,11:00 AM,11:50 AM,3,Shields,802,50
80010,ANTH,2,Cultural Anthro,W,8/13/2010,12/16/2010,6:00 PM,8:50 PM,3,Taylor,802,50
80011,ANTH,2,Cultural Anthro,TR,8/13/2010,12/16/2010,8:00 AM,9:15 AM,3,Valverde,107,50
80013,ANTH,1,Physical Anthro,MWF,8/13/2010,12/16/2010,9:00 AM,9:50 AM,3,Woods,802,50
80014,ANTH,1,Physical Anthro,TR,8/13/2010,12/16/2010,12:30 PM,1:45 PM,3,Bronson,107,50
80015,ANTH,1,Physical Anthro,TR,8/13/2010,12/16/2010,9:30 AM,10:45 AM,3,Ingram,802,50
80016,ANTH,1,Physical Anthro,MWF,8/13/2010,12/16/2010,10:00 AM,10:50 AM,3,Kuhns,802,50
80017,SOCS,22,Minority Grp Rels,TR,8/13/2010,12/16/2010,11:00 AM,12:15 PM,3,Lanning,217,35
80018,SOCS,22,Minority Grp Rels,T,8/13/2010,12/16/2010,6:00 PM,8:50 PM,3,Lundy,215,35
80019,SOCS,22,Minority Grp Rels,TR,8/13/2010,12/16/2010,9:30 AM,10:45 AM,3,Rosales,1646,35
80020,SOCS,22,Minority Grp Rels,W,8/13/2010,12/16/2010,6:00 PM,8:50 PM,3,Sibley,1646,35
80021,SOCS,22,Minority Grp Rels,R,8/13/2010,12/16/2010,6:00 PM,8:50 PM,3,Vanwinkle,102,35
80022,SOCS,22,Minority Grp Rels,MWF,8/13/2010,12/16/2010,10:00 AM,10:50 AM,3,Willoughby,104,35
80025,SOC,1,Introduction to Sociology,MW,8/13/2010,12/16/2010,1:00 PM,2:15 PM,3,Clemente,207,50
80026,SOC,1,Introduction to Sociology,W,8/13/2010,12/16/2010,6:00 PM,8:50 PM,3,Jeffers,212,50
80027,SOC,1,Introduction to Sociology,TR,8/13/2010,12/16/2010,11:00 AM,12:15 PM,3,Mitchell,1645,50
80028,SOC,45,Sociology of Religion,TR,8/13/2010,12/16/2010,9:30 AM,10:45 AM,3,Mooney,701,35
80030,SOC,1,Introduction to Sociology,MWF,8/13/2010,12/16/2010,11:00 AM,11:50 AM,3,Neil,812,50
80031,SOC,1,Introduction to Sociology,MWF,8/13/2010,12/16/2010,9:00 AM,9:50 AM,3,Ogrady,812,50
80032,SOC,1,Introduction to Sociology,TR,8/13/2010,12/16/2010,9:30 AM,10:45 AM,3,Ott,217,50
80033,SOC,2,Social Iss/Prob,R,8/13/2010,12/16/2010,6:00 PM,8:50 PM,3,Prado,706,35
80034,SOC,23,Soc of African/Amer,MWF,8/13/2010,12/16/2010,10:00 AM,10:50 AM,3,Sherman,701,35
80035,SOC,40,Soc of the Family,MW,8/13/2010,12/16/2010,1:00 PM,2:15 PM,3,Tavares,704,35
80036,SOC,2,Social Iss/Prob,TR,8/13/2010,12/16/2010,12:30 PM,1:45 PM,3,Tidwell,704,35
80038,SOC,1,Introduction to Sociology,TR,10/8/2010,12/9/2010,6:00 PM,8:50 PM,3,Ware,713,50
80039,MATH,2,Algebra For Calc,MWF,8/13/2010,12/16/2010,9:00 AM,9:50 AM,3,Barnes,1528,35
80040,MATH,2,Algebra For Calc,TR,8/13/2010,12/16/2010,9:30 AM,10:45 AM,3,Dube,1528,35
80041,MATH,2,Algebra For Calc,MW,8/13/2010,12/16/2010,6:00 PM,7:15 PM,3,Fraser,1528,35
80042,MATH,4,Pre-Calculus Math,MTWRF,8/13/2010,12/16/2010,8:00 AM,8:50 AM,5,Sanderson,1526,40
80043,MATH,4,Pre-Calculus Math,MTWRF,8/13/2010,12/16/2010,10:00 AM,10:50 AM,5,Schofield,1526,40
80044,MATH,4,Pre-Calculus Math,MWF,8/13/2010,12/16/2010,12:00 PM,1:25 PM,5,Still,1526,40
80045,MATH,4,Pre-Calculus Math,MTWR,8/13/2010,12/16/2010,2:00 PM,3:05 PM,5,Tipton,1526,40
80046,MATH,4,Pre-Calculus Math,MTWR,8/13/2010,12/16/2010,3:15 PM,4:20 PM,5,Weeks,1526,40
80047,MATH,11,Elem Statistics,MWF,8/13/2010,12/16/2010,8:00 AM,9:10 AM,4,Wolff,1530,35
80048,MATH,11,Elem Statistics,TR,8/13/2010,12/16/2010,8:00 AM,9:50 AM,4,Benoit,1529,35
80049,MATH,11,Elem Statistics,MWF,8/13/2010,12/16/2010,9:40 AM,10:50 AM,4,Bricker,1529,35
80050,MATH,11,Elem Statistics,TR,8/13/2010,12/16/2010,10:00 AM,11:50 AM,4,Espinoza,1529,35
80051,MATH,11,Elem Statistics,MWF,8/13/2010,12/16/2010,11:00 AM,12:10 PM,4,Gunn,1529,35
80052,MATH,11,Elem Statistics,TR,8/13/2010,12/16/2010,11:00 AM,12:50 PM,4,Otis,1530,35
80053,MATH,11,Elem Statistics,TR,8/13/2010,12/16/2010,12:00 PM,1:50 PM,4,Rowland,1529,35
80054,MATH,11,Elem Statistics,MWF,8/13/2010,12/16/2010,12:40 PM,1:50 PM,4,Scales,1530,35
80055,MATH,11,Elem Statistics,MW,8/13/2010,12/16/2010,2:00 PM,3:50 PM,4,Sousa,1529,35
80056,MATH,11,Elem Statistics,TR,8/13/2010,12/16/2010,2:00 PM,3:50 PM,4,Weinstein,1529,35
80057,MATH,11,Elem Statistics,MW,8/13/2010,12/16/2010,4:00 PM,5:50 PM,4,Bowman,1529,35
80058,MATH,11,Elem Statistics,TR,8/13/2010,12/16/2010,6:00 PM,7:50 PM,4,Calloway,1529,35
